"Timestamp","StartedLevel","EndLevel","TimeRemainingOnEnd","JumpPressed","AKeyPressed","DKeyPressed","MKeyPressed","PercentageLevelCompleted","BoosterCollected","SpikeTouched","PoisonCollected","MainButtonPress","PauseButtonPress","ResumeButtonPress","QuitButtonPress","RestartButtonPress","InversionCollected"
"2022/10/19 2:05:42 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:42 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:43 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:43 AM MDT","","","","","","","","","","Level1","","","","","","",""
"2022/10/19 2:05:43 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:44 AM MDT","","","","","","","","","","Level1","","","","","","",""
"2022/10/19 2:05:44 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:45 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:46 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:46 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:46 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:47 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:48 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:48 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:50 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:50 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:50 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:50 AM MDT","","","","","","","","","","Level1","","","","","","",""
"2022/10/19 2:05:50 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:51 AM MDT","","","","","","","","","","","","","","","","","Level1"
"2022/10/19 2:05:51 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:51 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:52 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:52 AM MDT","","","","","","","","","","Level1","","","","","","",""
"2022/10/19 2:05:52 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:53 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:53 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:53 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:53 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:54 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:54 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:54 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:55 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:55 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:56 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:56 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:56 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:57 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:57 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:57 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:05:57 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:59 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:05:59 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:59 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:05:59 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:00 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:00 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:06:00 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:01 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:02 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:06:03 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:06:03 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:06:03 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:06:04 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:06:08 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:06:08 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:06:09 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:06:09 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:06:10 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:10 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:11 AM MDT","","","","","","","","","","Level1","","","","","","",""
"2022/10/19 2:06:11 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:06:11 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:12 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:12 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:13 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:06:13 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:13 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:06:13 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:06:14 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:06:14 AM MDT","","","","","","","","Level1_1","","","","","","","","",""
"2022/10/19 2:06:14 AM MDT","","Level1","","","","","","","","","","","","","","",""
"2022/10/19 2:06:14 AM MDT","","","Level1_17.95745","","","","","","","","","","","","","",""
"2022/10/19 2:06:20 AM MDT","Level2","","","","","","","","","","","","","","","",""
"2022/10/19 2:06:24 AM MDT","","","","","","","Level2","","","","","","","","","",""
"2022/10/19 2:06:25 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:25 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:25 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:25 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:26 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:26 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:26 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:27 AM MDT","","","","","","","","","","Level2","","","","","","",""
"2022/10/19 2:06:27 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:27 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:27 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:28 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:28 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:30 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:30 AM MDT","","","","","","","","","","","","","","","","","Level2"
"2022/10/19 2:06:32 AM MDT","","","","","","","","","","","","","","","","","Level2"
"2022/10/19 2:06:32 AM MDT","","","","","","","Level2","","","","","","","","","",""
"2022/10/19 2:06:32 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:33 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:33 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:34 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:35 AM MDT","","","","","","","","","","","","Level2","","","","",""
"2022/10/19 2:06:35 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:36 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:36 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:36 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:37 AM MDT","","","","","","","","","","Level2","","","","","","",""
"2022/10/19 2:06:37 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:38 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:38 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:39 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:39 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:41 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:42 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:44 AM MDT","","","","","","","","","","","","","Level2","","","",""
"2022/10/19 2:06:45 AM MDT","Level2","","","","","","","","","","","","","","","",""
"2022/10/19 2:06:45 AM MDT","","","","","","","","","","","","","","","","Level2",""
"2022/10/19 2:06:45 AM MDT","","","","","","","","","","","","","Level2","","","",""
"2022/10/19 2:06:50 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:50 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:06:51 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:51 AM MDT","","","","","","","Level2","","","","","","","","","",""
"2022/10/19 2:06:52 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:52 AM MDT","","","","","","","","","","","","","","","","","Level2"
"2022/10/19 2:06:52 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:53 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:53 AM MDT","","","","","","","Level2","","","","","","","","","",""
"2022/10/19 2:06:54 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:54 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:55 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:56 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:56 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:56 AM MDT","","","","","","","","","","Level2","","","","","","",""
"2022/10/19 2:06:57 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:57 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:58 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:58 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:06:58 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:06:59 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:00 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:00 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:01 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:01 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:01 AM MDT","","","","","","","","","","Level2","","","","","","",""
"2022/10/19 2:07:02 AM MDT","","","","","","","","","","Level2","","","","","","",""
"2022/10/19 2:07:02 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:02 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:03 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:04 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:04 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:04 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:04 AM MDT","","","","","","","Level2","","","","","","","","","",""
"2022/10/19 2:07:05 AM MDT","","","","","","","","","Level2","","","","","","","",""
"2022/10/19 2:07:05 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:05 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:06 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:07 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:07 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:08 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:08 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:09 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:09 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:10 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:10 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:12 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:12 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:12 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:13 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:14 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:15 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:15 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:15 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:15 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:16 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:16 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:16 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:16 AM MDT","","","","","","","Level2","","","","","","","","","",""
"2022/10/19 2:07:16 AM MDT","","","","","","Level2","","","","","","","","","","",""
"2022/10/19 2:07:17 AM MDT","","","","","Level2","","","","","","","","","","","",""
"2022/10/19 2:07:17 AM MDT","","","","Level2","","","","","","","","","","","","",""
"2022/10/19 2:07:17 AM MDT","","Level2","","","","","","","","","","","","","","",""
"2022/10/19 2:07:17 AM MDT","","","Level2_106.8045","","","","","","","","","","","","","",""
"2022/10/19 2:07:17 AM MDT","","","","","","","","Level2_1","","","","","","","","",""
"2022/10/19 2:07:20 AM MDT","Level3","","","","","","","","","","","","","","","",""
"2022/10/19 2:07:24 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:25 AM MDT","","","","Level3","","","","","","","","","","","","",""
"2022/10/19 2:07:25 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:26 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:27 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:27 AM MDT","","","","Level3","","","","","","","","","","","","",""
"2022/10/19 2:07:27 AM MDT","","","","","","","","","Level3","","","","","","","",""
"2022/10/19 2:07:27 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:28 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:28 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:29 AM MDT","","","","","","","","","Level3","","","","","","","",""
"2022/10/19 2:07:29 AM MDT","","","","","","","","","Level3","","","","","","","",""
"2022/10/19 2:07:29 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:29 AM MDT","","","","","","","","","Level3","","","","","","","",""
"2022/10/19 2:07:31 AM MDT","","","","Level3","","","","","","","","","","","","",""
"2022/10/19 2:07:31 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:32 AM MDT","","","","Level3","","","","","","","","","","","","",""
"2022/10/19 2:07:33 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:33 AM MDT","","","","Level3","","","","","","","","","","","","",""
"2022/10/19 2:07:33 AM MDT","","","","","","","","","","","","","","","","","Level3"
"2022/10/19 2:07:34 AM MDT","","","","","","","","","","Level3","","","","","","",""
"2022/10/19 2:07:34 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:34 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:35 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:36 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:36 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:37 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:37 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:38 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:39 AM MDT","","","","","","Level3","","","","","","","","","","",""
"2022/10/19 2:07:39 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:40 AM MDT","","","","","Level3","","","","","","","","","","","",""
"2022/10/19 2:07:40 AM MDT","","Level3","","","","","","","","","","","","","","",""
"2022/10/19 2:07:40 AM MDT","","","Level3_8.777914","","","","","","","","","","","","","",""
"2022/10/19 2:07:40 AM MDT","","","","","","","","Level3_0.9761522","","","","","","","","",""
"2022/10/19 2:07:45 AM MDT","Level4","","","","","","","","","","","","","","","",""
"2022/10/19 2:07:50 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:50 AM MDT","","","","","","","Level4","","","","","","","","","",""
"2022/10/19 2:07:50 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:51 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:52 AM MDT","","","","Level4","","","","","","","","","","","","",""
"2022/10/19 2:07:52 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:52 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:53 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:53 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:53 AM MDT","","","","","","","","","","","","","","","","","Level4"
"2022/10/19 2:07:54 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:55 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:55 AM MDT","","","","","","","","","","Level4","","","","","","",""
"2022/10/19 2:07:55 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:55 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:56 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:56 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:57 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:57 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:07:58 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:58 AM MDT","","","","","","","","","","Level4","","","","","","",""
"2022/10/19 2:07:59 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:07:59 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:08:00 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:08:01 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:08:01 AM MDT","","","","","Level4","","","","","","","","","","","",""
"2022/10/19 2:08:01 AM MDT","","","","","","Level4","","","","","","","","","","",""
"2022/10/19 2:08:02 AM MDT","","Level4","","","","","","","","","","","","","","",""
"2022/10/19 2:08:02 AM MDT","","","Level4_127.8735","","","","","","","","","","","","","",""
"2022/10/19 2:08:02 AM MDT","","","","","","","","Level4_0.9830739","","","","","","","","",""
"2022/10/19 2:08:08 AM MDT","","","","","","","","","","","","Level1","","","","",""
"2022/10/19 2:08:08 AM MDT","Level1","","","","","","","","","","","","","","","",""
"2022/10/19 2:08:13 AM MDT","","","","","","","","","","","","","Level1","","","",""
"2022/10/19 2:08:16 AM MDT","","","","","","","","","","","","","","","Level1","",""
"2022/10/19 2:12:51 AM MDT","","","","","","","","","","","","","","","Level2","",""
"2022/10/19 2:12:52 AM MDT","","","","","","","","","","","","Tutorial","","","","",""
"2022/10/19 2:13:54 AM MDT","","","","","","","","","","","","Tutorial","","","","",""
"2022/10/19 2:14:16 AM MDT","","","","","","","","","","","","Level1","","","","",""
"2022/10/19 2:14:21 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:21 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:25 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:25 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:28 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:28 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:47 AM MDT","","","","","","","","","","","","Level1","","","","",""
"2022/10/19 2:14:47 AM MDT","Level1","","","","","","","","","","","","","","","",""
"2022/10/19 2:14:51 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:14:51 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:14:51 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:51 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:52 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:53 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:14:54 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:14:55 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:55 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:14:55 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:56 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:14:57 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:58 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:14:58 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:14:59 AM MDT","","","","","","","","","","Level1","","","","","","",""
"2022/10/19 2:14:59 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:00 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:01 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:15:01 AM MDT","","","","Level1","","","","","","","","","","","","",""
"2022/10/19 2:15:01 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:04 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:06 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:06 AM MDT","","","","","","","","","","","","","","","","","Level1"
"2022/10/19 2:15:08 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:08 AM MDT","","","","","","","","","","Level1","","","","","","",""
"2022/10/19 2:15:09 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:10 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:11 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:12 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:13 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:14 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:14 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:15 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:15 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:16 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:17 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:17 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:18 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:18 AM MDT","","","","","","Level1","","","","","","","","","","",""
"2022/10/19 2:15:19 AM MDT","","","","","Level1","","","","","","","","","","","",""
"2022/10/19 2:15:20 AM MDT","","","","","","Level1","","","","","","","","","","",""
